district_name,region_name,count
HOKKAIDO,RUMOI REGION,1
HOKKAIDO,KAMIKAWA-SORACHI REGION,1
HOKKAIDO,NEMURO REGION,1
HOKKAIDO,KUSHIRO REGION,1
HOKKAIDO,TOKACHI REGION,1
HOKKAIDO,HIDAKA MOUNTAINS REGION,1
HOKKAIDO,ISHIKARI DEPRESSION,1
HOKKAIDO,NW OFF HOKKAIDO,1
HOKKAIDO,NEAR KUNASHIRI ISLAND,1
HOKKAIDO,NEAR ETOROFU ISLAND,1
HOKKAIDO,SE OFF ETOROFU,6
HOKKAIDO,E OFF HOKKAIDO,1
HOKKAIDO,OFF NEMURO PENINSULA,5
HOKKAIDO,SE OFF TOKACHI,8
HOKKAIDO,SE OFF ERIMOMISAKI,3
HOKKAIDO,S OFF URAKAWA,2
TOHOKU,NORTHERN IWATE PREF,2
TOHOKU,SOUTHERN IWATE PREF,2
TOHOKU,NORTHERN MIYAGI PREF,2
TOHOKU,EASTERN FUKUSHIMA PREF,2
TOHOKU,W OFF YAMAGATA PREF,1
TOHOKU,W OFF AKITA PREF,1
TOHOKU,E OFF AOMORI PREF,8
TOHOKU,NE OFF IWATE PREF,2
TOHOKU,E OFF IWATE PREF,10
TOHOKU,FAR E OFF SANRIKU,18
TOHOKU,FAR E OFF MIYAGI PREF,20
TOHOKU,E OFF MIYAGI PREF,9
TOHOKU,KINKAZAN REGION,6
TOHOKU,SE OFF MIYAGI PREF,6
TOHOKU,E OFF FUKUSHIMA PREF,31
TOHOKU,FAR E OFF FUKUSHIMA PREF,4
KANTO,NORTHERN TOCHIGI PREF,1
KANTO,NORTHERN IBARAKI PREF,2
KANTO,NEAR NIIJIMA ISLAND,4
KANTO,NEAR MIYAKEJIMA ISLAND,2
KANTO,FAR SE OFF BOSO PEN,3
KANTO,E OFF BOSO PENINSULA,1
KANTO,NEAR CHOSHI CITY,7
KANTO,E OFF IBARAKI PREF,4
KANTO,FAR E OFF IBARAKI PREF,14
KANTO,FAR E OFF KANTO,4
CHUBU,MID NIIGATA PREF,5
CHUBU,NORTHERN NAGANO PREF,1
CHUBU,MT. FUJI REGION,1
CHUBU,OFF S NIIGATA PREF,1
CHUBU,OFF NOTO PENINSULA,1
CHUBU,NW OFF HOKURIKU DISTRICT,1
CHUBU,FAR S OFF TOKAI DISTRICT,1
CHUBU,SOUTHERN SURUGA BAY REG,2
KINKI,KYOTO OSAKA BORDER REG,1
KINKI,NW OFF KINKI DISTRICT,1
KINKI,AWAJISHIMA ISLAND REGION,1
KINKI,SE OFF KII PENINSULA,7
"CHUGOKU, SHIKOKU",EASTERN TOTTORI PREF,1
"CHUGOKU, SHIKOKU",WESTERN TOTTORI PREF,1
"CHUGOKU, SHIKOKU",SHIMANE HIROSHIMA BORDER,1
"CHUGOKU, SHIKOKU",AKINADA SETONAIKAI,1
"CHUGOKU, SHIKOKU",IYONADA SETONAIKAI,1
"KYUSHU, OKINAWA.",NW KUMAMOTO PREF,3
"KYUSHU, OKINAWA.",NORTHERN OITA PREF,1
"KYUSHU, OKINAWA.",NW OFF KYUSHU,1
"KYUSHU, OKINAWA.",SW OFF KYUSHU,2
"KYUSHU, OKINAWA.",NEAR TOKARA ISLANDS,1
"KYUSHU, OKINAWA.",NW OFF AMAMI-OSHIMA IS,3
"KYUSHU, OKINAWA.",NW OFF OKINAWAJIMA IS,4
"KYUSHU, OKINAWA.",NW OFF MIYAKOJIMA ISLAND,4
"KYUSHU, OKINAWA.",NW OFF ISHIGAKIJIMA IS,12
"KYUSHU, OKINAWA.",NEAR ISHIGAKIJIMA ISLAND,7
"KYUSHU, OKINAWA.",FAR S OFF ISHIGAKIJIMA,3
"KYUSHU, OKINAWA.",NEAR MIYAKOJIMA ISLAND,5
"KYUSHU, OKINAWA.",NEAR OKINAWAJIMA ISLAND,5
"KYUSHU, OKINAWA.",NEAR MINAMI-DAITOJIMA IS,1
"KYUSHU, OKINAWA.",NEAR AMAMI-OSHIMA ISLAND,3
"KYUSHU, OKINAWA.",NEAR TANEGASHIMA ISLAND,1
"KYUSHU, OKINAWA.",HYUGANADA REGION,2
NEAR JAPAN,TAIWAN REGION,50
NEAR JAPAN,EAST CHINA SEA REGION,1
NEAR JAPAN,SOUTHERN SIBERIA,1
NEAR JAPAN,NEAR VLADIVOSTOK,7
NEAR JAPAN,SEA OF JAPAN,4
NEAR JAPAN,SOUTH SAKHALIN,3
NEAR JAPAN,SOUTHERN SEA OF OKHOTSK,3
NEAR JAPAN,KURILE ISLANDS REGION,14
NEAR JAPAN,FAR SE OFF HOKKAIDO,2
NEAR JAPAN,FAR E OFF NORTH HONSHU,11
NEAR JAPAN,FAR E OFF CENTRAL HONSHU,2
NEAR JAPAN,FAR E OFF IZU ISLANDS,2
NEAR JAPAN,E OFF HACHIJOJIMA ISLAND,1
NEAR JAPAN,NEAR TORISHIMA IS,18
NEAR JAPAN,W OFF OGASAWARA,11
NEAR JAPAN,NEAR CHICHIJIMA ISLAND,9
NEAR JAPAN,IOTO ISLANDS REGION,12
NEAR JAPAN,FAR E OFF OGASAWARA,6
NEAR JAPAN,NORTH PACIFIC,1
NEAR JAPAN,MARIANA ISLANDS REGION,7
NEAR JAPAN,PHILIPPINE ISL REGION,5
