date,CHUBU,"CHUGOKU, SHIKOKU",HOKKAIDO,KANTO,KINKI,"KYUSHU, OKINAWA.",NEAR JAPAN,TOHOKU
1997-10-01,533.2,317.4999999999999,939.6999999999996,1264.8999999999996,475.3,2641.9000000000033,313.6000000000001,1073.9
1997-11-01,1124.9000000000003,648.8999999999999,1883.7999999999995,2528.899999999998,925.8000000000003,5134.599999999999,680.5,2346.6000000000004
1997-12-01,1639.9000000000005,977.7999999999997,2928.6,3816.2999999999975,1367.2000000000003,7396.1,976.5,3619.600000000002
1998-01-01,2156.1000000000004,1187.4999999999998,3984.5999999999995,5141.199999999998,1763.4000000000003,9778.499999999998,1333.8999999999999,4948.6
1998-02-01,2691.600000000001,1395.0999999999997,4991.5,6216.999999999998,2200.1000000000004,11629.399999999996,1577.8999999999999,5976.5
1998-03-01,3165.2000000000007,1659.9999999999998,6004.4,7371.899999999998,2720.3,14256.199999999986,1860.1999999999998,7435.8
1998-04-01,3753.000000000001,1944.5999999999997,7097.700000000001,12322.099999999993,3574.7,16982.599999999984,2264.2999999999997,8690.900000000001
1998-05-01,4367.500000000001,2274.2999999999997,8147.0,16151.69999999999,4210.299999999999,20334.89999999998,2677.6,10272.300000000003
1998-06-01,4875.800000000001,2565.4999999999995,9154.099999999999,17886.999999999993,4844.199999999999,22852.799999999977,3047.0,11680.2
1998-07-01,5553.600000000001,2939.0999999999995,10317.0,19313.59999999999,5464.199999999999,25348.89999999998,3582.7,12895.5
1998-08-01,10308.900000000012,3329.6,11313.5,20744.59999999999,6079.799999999998,28127.099999999977,4031.2,14559.3
1998-09-01,12478.300000000008,3628.7999999999997,12215.4,21736.59999999999,6618.699999999999,31145.29999999997,4427.7,16483.700000000004
1998-10-01,13892.50000000001,3934.2999999999997,13000.8,22857.49999999999,7218.899999999999,33029.69999999997,4798.2,17631.900000000005
1998-11-01,14693.30000000001,4212.4,13702.199999999999,23975.69999999999,7776.899999999999,34921.19999999997,5120.2,18781.900000000005
1998-12-01,15212.60000000001,4495.2,14505.9,25164.799999999992,8281.8,37776.39999999997,5374.0,20227.300000000003
