datetime,latitude,longitude,depth,magnitude1,magnitude2,max_intensity,district_id,region_id,description,time,time_diff_day
1997-10-13 22:39:37,36.37833333333333,22.07,24.0,6.2,6.6,,9,,SOUTHERN GREECE          USGS,1997-10-13 22:39:37,
1997-10-14 18:53:18,22.1,176.77166666666668,167.0,6.7,,,9,,SOUTH OF FIJI            USGS,1997-10-14 18:53:18,0 days 20:13:41
1997-10-15 10:03:33,30.931666666666665,71.22,58.0,6.8,6.8,,9,,NEAR COAST OF CEN. CHILE USGS,1997-10-15 10:03:33,0 days 15:10:15
1997-10-28 15:15:17,4.366666666666666,76.68,112.0,6.6,6.3,,9,,NORTHERN PERU            USGS,1997-10-28 15:15:17,13 days 05:11:44
1997-11-04 04:17:33,30.74333333333333,71.22333333333333,45.0,6.2,5.6,,9,,NEAR COAST OF CEN. CHILE USGS,1997-11-04 04:17:33,6 days 13:02:16
1997-11-06 08:45:33,27.99333333333333,142.63166666666666,37.0,6.1,5.6,2.0,8,333.0,NEAR CHICHIJIMA ISLAND,1997-11-06 08:45:33,2 days 04:28:00
1997-11-08 19:02:52,35.068333333333335,87.325,33.0,6.2,7.9,,9,,XIJANG                   USGS,1997-11-08 19:02:52,2 days 10:17:19
1997-11-15 16:05:17,43.665,145.11333333333334,155.0,6.1,5.7,4.0,1,6.0,NEMURO REGION            NPS,1997-11-15 16:05:17,6 days 21:02:25
1997-11-16 03:59:24,15.145,167.375,123.0,6.4,,,9,,VANUATU (NEW HEBRIDES)   USGS,1997-11-16 03:59:24,0 days 11:54:07
1997-11-25 21:14:33,1.24,122.535,24.0,6.1,6.8,,9,,"MINAHASSA PEN.,SULAWESI  USGS",1997-11-25 21:14:33,9 days 17:15:09
1997-11-29 07:53:41,13.74,68.78666666666666,586.0,6.4,,,9,,PERU-BOLIVIA BORDER REG. USGS,1997-11-29 07:53:41,3 days 10:39:08
1997-12-05 20:26:54,54.84,162.035,33.0,6.3,7.6,,9,,NEAR KAMCHATKA E. COAST  USGS,1997-12-05 20:26:54,6 days 12:33:13
1997-12-06 03:48:22,53.751666666666665,161.745,33.0,6.2,6.5,,9,,OFF E COAST OF KAMCHATKA USGS,1997-12-06 03:48:22,0 days 07:21:28
1997-12-22 11:05:50,5.495,147.86666666666667,179.0,6.3,6.7,,9,,"E NEW GUINEA REG.,P.N.G. USGS",1997-12-22 11:05:50,16 days 07:17:28
1998-01-01 15:11:24,24.218333333333334,142.79833333333335,169.0,6.5,,2.0,8,334.0,IOTO ISLANDS REGION,1998-01-01 15:11:24,10 days 04:05:34
1998-01-04 15:11:58,22.3,170.91,101.0,6.4,,,9,,LOYALTY ISLANDS REGION   USGS,1998-01-04 15:11:58,3 days 00:00:34
1998-01-30 21:16:08,23.911666666666665,70.20666666666666,42.0,6.3,6.5,,9,,NEAR COAST OF N CHILE    USGS,1998-01-30 21:16:08,26 days 06:04:10
1998-02-07 10:19:01,24.895,142.08833333333334,552.0,6.4,7.1,2.0,8,334.0,IOTO ISLANDS REGION      NPS,1998-02-07 10:19:01,7 days 13:02:53
1998-02-17 08:53:19,52.71666666666667,33.67666666666667,10.0,6.1,6.6,,9,,NORTH ATLANTIC OCEAN     USGS,1998-02-17 08:53:19,9 days 22:34:18
1998-02-19 23:14:51,4.475,129.08166666666668,33.0,6.1,6.4,,9,,BANDA SEA                USGS,1998-02-19 23:14:51,2 days 14:21:32
1998-03-25 12:12:25,62.876666666666665,149.52666666666667,10.0,6.6,8.0,,9,,BALLENY ISLANDS REGION   USGS,1998-03-25 12:12:25,33 days 12:57:34
