DISTRICT NUMBER,DISTRICT NAME,REGION NUMBER,REGION NAME
1,HOKKAIDO,1,SOYA REGION
1,HOKKAIDO,2,RUMOI REGION
1,HOKKAIDO,3,KAMIKAWA-SORACHI REGION
1,HOKKAIDO,4,ABASHIRI REGION
1,HOKKAIDO,5,SHIRETOKO PENINSULA REG
1,HOKKAIDO,6,NEMURO REGION
1,HOKKAIDO,7,TESHIKAGA REGION
1,HOKKAIDO,8,KUSHIRO REGION
1,HOKKAIDO,9,TOKACHI REGION
1,HOKKAIDO,10,TAISETSU MOUNTAINS REG
1,HOKKAIDO,11,HIDAKA MOUNTAINS REGION
1,HOKKAIDO,12,HIDAKA REGION
1,HOKKAIDO,13,ISHIKARI DEPRESSION
1,HOKKAIDO,14,IBURI REGION
1,HOKKAIDO,15,SHIRIBESHI REGION
1,HOKKAIDO,16,OSHIMA PEN REG HOKKAIDO
1,HOKKAIDO,17,TSUGARU STRAIT REGION
1,HOKKAIDO,18,SW OFF HOKKAIDO
1,HOKKAIDO,19,NW OFF SHAKOTAN PEN
1,HOKKAIDO,20,ISHIKARI BAY REGION
1,HOKKAIDO,21,NW OFF HOKKAIDO
1,HOKKAIDO,22,NE OFF HOKKAIDO
1,HOKKAIDO,23,NEAR KUNASHIRI ISLAND
1,HOKKAIDO,24,NEAR ETOROFU ISLAND
1,HOKKAIDO,25,SE OFF ETOROFU
1,HOKKAIDO,26,E OFF HOKKAIDO
1,HOKKAIDO,27,OFF NEMURO PENINSULA
1,HOKKAIDO,28,SE OFF TOKACHI
1,HOKKAIDO,29,SE OFF ERIMOMISAKI
1,HOKKAIDO,30,S OFF URAKAWA
1,HOKKAIDO,31,S OFF TOMAKOMAI
1,HOKKAIDO,32,UCHIURA BAY REGION
2,TOHOKU,41,TSUGARU PENINSULA REGION
2,TOHOKU,42,SHIMOKITA PENINSULA REG
2,TOHOKU,43,EASTERN AOMORI PREF
2,TOHOKU,44,WESTERN AOMORI PREF
2,TOHOKU,45,OGA PENINSULA REGION
2,TOHOKU,46,NORTHERN AKITA PREF
2,TOHOKU,47,SOUTHERN AKITA PREF
2,TOHOKU,48,NORTHERN IWATE PREF
2,TOHOKU,49,SOUTHERN IWATE PREF
2,TOHOKU,50,NORTHERN MIYAGI PREF
2,TOHOKU,51,SOUTHERN MIYAGI PREF
2,TOHOKU,52,NORTHERN YAMAGATA PREF
2,TOHOKU,53,SOUTHERN YAMAGATA PREF
2,TOHOKU,54,WESTERN FUKUSHIMA PREF
2,TOHOKU,55,MID FUKUSHIMA PREF
2,TOHOKU,56,EASTERN FUKUSHIMA PREF
2,TOHOKU,57,W OFF YAMAGATA PREF
2,TOHOKU,58,W OFF AKITA PREF
2,TOHOKU,59,W OFF AOMORI PREF
2,TOHOKU,60,E OFF AOMORI PREF
2,TOHOKU,61,NE OFF IWATE PREF
2,TOHOKU,62,E OFF IWATE PREF
2,TOHOKU,63,FAR E OFF SANRIKU
2,TOHOKU,64,FAR E OFF MIYAGI PREF
2,TOHOKU,65,E OFF MIYAGI PREF
2,TOHOKU,66,KINKAZAN REGION
2,TOHOKU,67,SENDAI BAY REGION
2,TOHOKU,68,SE OFF MIYAGI PREF
2,TOHOKU,69,E OFF FUKUSHIMA PREF
2,TOHOKU,70,FAR E OFF FUKUSHIMA PREF
3,KANTO,81,NW GUNMA PREF
3,KANTO,82,SE GUNMA PREF
3,KANTO,83,TOCHIGI GUNMA BORDER
3,KANTO,84,NORTHERN TOCHIGI PREF
3,KANTO,85,SOUTHERN TOCHIGI PREF
3,KANTO,86,NORTHERN IBARAKI PREF
3,KANTO,87,SOUTHERN IBARAKI PREF
3,KANTO,88,SW IBARAKI PREF
3,KANTO,89,EASTERN SAITAMA PREF
3,KANTO,90,WESTERN SAITAMA PREF
3,KANTO,91,TOKYO PREF
3,KANTO,92,NORTHERN CHIBA PREF
3,KANTO,93,CENTRAL CHIBA PREF
3,KANTO,94,KUJUKURI COAST BOSO PEN
3,KANTO,95,SOUTHERN BOSO PENINSULA
3,KANTO,96,TOKYO BAY REGION
3,KANTO,97,KANAGAWA PREF
3,KANTO,98,HAKONE REGION
3,KANTO,99,SAGAMI BAY REGION
3,KANTO,100,E OFF IZU PENINSULA
3,KANTO,101,SAGAMINADA
3,KANTO,102,NEAR IZU-OSHIMA ISLAND
3,KANTO,103,NEAR NIIJIMA ISLAND
3,KANTO,104,NEAR MIYAKEJIMA ISLAND
3,KANTO,105,NEAR HACHIJOJIMA ISLAND
3,KANTO,106,FAR S OFF BOSO PENINSULA
3,KANTO,107,FAR SE OFF BOSO PEN
3,KANTO,108,SE OFF BOSO PENINSULA
3,KANTO,109,E OFF BOSO PENINSULA
3,KANTO,110,NEAR CHOSHI CITY
3,KANTO,111,E OFF IBARAKI PREF
3,KANTO,112,FAR E OFF IBARAKI PREF
3,KANTO,113,FAR E OFF KANTO
4,CHUBU,131,NE NIIGATA PREF
4,CHUBU,132,MID NIIGATA PREF
4,CHUBU,133,SW NIIGATA PREF
4,CHUBU,134,TOYAMA PREF
4,CHUBU,135,NOTO PENINSULA REGION
4,CHUBU,136,ISHIKAWA PREF
4,CHUBU,137,CENTRAL FUKUI PREF
4,CHUBU,138,FUKUI GIFU BORDER REGION
4,CHUBU,139,SW GIFU PREF
4,CHUBU,140,SE GIFU PREF
4,CHUBU,141,NORTHERN GIFU PREF
4,CHUBU,142,TOYAMA GIFU BORDER REG
4,CHUBU,143,HIDA MOUNTAINS REGION
4,CHUBU,144,NORTHERN NAGANO PREF
4,CHUBU,145,NEAR MATSUSHIRO
4,CHUBU,146,EASTERN NAGANO PREF
4,CHUBU,147,CENTRAL NAGANO PREF
4,CHUBU,148,WESTERN NAGANO PREF
4,CHUBU,149,SOUTHERN NAGANO PREF
4,CHUBU,150,AKAISHI MOUNTAINS REG
4,CHUBU,151,CENTRAL YAMANASHI PREF
4,CHUBU,152,EASTERN YAMANASHI PREF
4,CHUBU,153,MT. FUJI REGION
4,CHUBU,154,EASTERN SHIZUOKA PREF
4,CHUBU,155,CENTRAL IZU PENINSULA
