datetime,latitude,longtitude,depth,magnitude1,magnitude2,max_intensity,district_id,region_id,description,time
1997-10-13 22:39:37,36.37833333333333,22.07,24.0,6.2,6.6,None,9,None,SOUTHERN GREECE          USGS,1997-10-13 22:39:37
1997-10-14 18:53:18,22.1,176.77166666666668,167.0,6.7,None,None,9,None,SOUTH OF FIJI            USGS,1997-10-14 18:53:18
1997-10-15 10:03:33,30.931666666666665,71.22,58.0,6.8,6.8,None,9,None,NEAR COAST OF CEN. CHILE USGS,1997-10-15 10:03:33
1997-10-28 15:15:17,4.366666666666666,76.68,112.0,6.6,6.3,None,9,None,NORTHERN PERU            USGS,1997-10-28 15:15:17
1997-11-04 04:17:33,30.74333333333333,71.22333333333333,45.0,6.2,5.6,None,9,None,NEAR COAST OF CEN. CHILE USGS,1997-11-04 04:17:33
1997-11-06 08:45:33,27.99333333333333,142.63166666666666,37.0,6.1,5.6,2.0,8,333,NEAR CHICHIJIMA ISLAND,1997-11-06 08:45:33
1997-11-08 19:02:52,35.068333333333335,87.325,33.0,6.2,7.9,None,9,None,XIJANG                   USGS,1997-11-08 19:02:52
1997-11-15 16:05:17,43.665,145.11333333333334,155.0,6.1,5.7,4.0,1,6,NEMURO REGION            NPS,1997-11-15 16:05:17
1997-11-16 03:59:24,15.145,167.375,123.0,6.4,None,None,9,None,VANUATU (NEW HEBRIDES)   USGS,1997-11-16 03:59:24
1997-11-25 21:14:33,1.24,122.535,24.0,6.1,6.8,None,9,None,"MINAHASSA PEN.,SULAWESI  USGS",1997-11-25 21:14:33
1997-11-29 07:53:41,13.74,68.78666666666666,586.0,6.4,None,None,9,None,PERU-BOLIVIA BORDER REG. USGS,1997-11-29 07:53:41
1997-12-05 20:26:54,54.84,162.035,33.0,6.3,7.6,None,9,None,NEAR KAMCHATKA E. COAST  USGS,1997-12-05 20:26:54
1997-12-06 03:48:22,53.751666666666665,161.745,33.0,6.2,6.5,None,9,None,OFF E COAST OF KAMCHATKA USGS,1997-12-06 03:48:22
1997-12-22 11:05:50,5.495,147.86666666666667,179.0,6.3,6.7,None,9,None,"E NEW GUINEA REG.,P.N.G. USGS",1997-12-22 11:05:50
